,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
530,monrovia,82.4,94,40,4.81,6.33,-10.8
531,veraval,63,63,0,11.41,49.65,0.71
532,port-gentil,75.2,94,40,10.4,-0.72,8.78
533,illapel,58.91,84,75,2.26,-31.63,-71.17
534,xining,70.25,13,61,15.84,36.62,101.77
535,mwinilunga,73.85,74,47,5.93,-11.73,24.43
536,nacozari,60.01,85,0,1.99,25.34,-108.26
537,nalut,77.09,25,0,10.85,31.86,10.98
538,thunder bay,37.4,93,90,2.24,48.41,-89.26
539,kijang,66.2,55,0,13.87,35.24,129.21
540,baherden,67.91,41,100,13.89,38.44,57.43
541,wick,56.82,81,100,14.99,51.45,-2.43
542,constitucion,39.47,73,0,6.42,23.99,-104.67
543,shimoda,59,66,75,11.41,34.7,138.93
544,tandil,55,92,21,3.36,-37.33,-59.14
545,suaita,59.09,91,100,2.35,6.1,-73.44
546,poli,105.17,11,92,1.61,8.48,13.24
547,cap malheureux,84.69,62,40,14.99,-19.98,57.61
548,ewa beach,72.3,76,90,6.93,21.32,-158.01
549,fonte boa,75.83,92,100,2.28,-2.51,-66.09
550,nishihara,63.72,45,1,11.41,35.74,139.53
551,trinidad,54.77,94,44,4.81,-33.52,-56.9
552,olden,50.86,68,0,4.7,61.84,6.81
553,ganzhou,76.55,76,100,7.94,25.86,114.93
554,conceicao do araguaia,73.13,94,94,0.47,-8.26,-49.26
555,elizabeth city,58.78,93,1,5.91,36.3,-76.22
556,bolungarvik,,,,,,
557,tromso,44.89,52,90,17.22,69.65,18.96
558,tigil,34.25,83,77,5.23,57.8,158.67
559,porto novo,60.8,93,75,3.36,-23.68,-45.44
560,sydney,67.86,77,20,12.75,-33.85,151.22
561,ixtapa,75.11,83,90,12.03,20.71,-105.21
562,samarai,74.21,83,14,3.06,-10.62,150.67
563,bonthe,84.83,71,51,5.28,7.53,-12.5
564,toftir,,,,,,
565,la troncal,77.05,88,20,4.7,-2.42,-79.34
566,mount gambier,50,81,99,9.17,-37.83,140.78
567,canavieiras,75.47,94,45,3.49,-15.68,-38.95
568,padampur,84.47,32,33,6.78,29.71,73.62
569,alyangula,75.2,83,75,5.82,-13.85,136.42
570,khandagayty,48.65,28,100,15.7,50.73,92.07
571,shirokiy,47.93,36,100,4.23,53.87,39.17
572,tuatapere,48,89,0,8.01,-46.13,167.69
573,skwierzyna,62.6,36,0,4.7,52.6,15.5
574,aswan,78.53,20,0,13.35,24.09,32.9
575,miri,92.75,9,63,6.38,10.31,9.75
576,west bay,59.2,67,0,12.75,50.71,-2.76
577,crab hill,,,,,,
578,miaoli,79.12,65,75,4.7,24.56,120.82
579,caceres,66.83,90,100,2.95,5.53,-74.53
580,ust-kan,25.79,54,63,10.89,50.93,84.77
581,salvador,77,94,20,3.36,-12.98,-38.48
582,vaitape,84.83,77,20,11.56,-16.52,-151.75
583,kamina,80.69,60,100,4.68,-8.74,25
584,makinsk,30.47,38,0,10.49,52.63,70.42
585,rawlins,33.8,86,1,18.34,41.79,-107.24
586,alexandria,70.5,88,90,9.17,31.31,-92.44
587,bayan,46.13,32,100,17.85,47.25,107.54
588,eresos,60.44,51,0,5.82,39.17,25.93
589,pestretsy,39.2,27,0,4.47,55.75,49.66
590,canton,61.88,51,90,4.7,40.8,-81.38
591,coquimbo,55.4,87,90,3.87,-29.95,-71.34
592,kiruna,39.2,41,0,6.93,67.86,20.23
593,sinnamary,80.51,81,72,15.17,5.38,-52.96
594,tairua,55.99,82,0,1.41,-37.02,175.85
595,pochutla,75.99,81,0,2.71,15.74,-96.47
596,stoyba,,,,,,
597,kouango,98.33,30,83,6.53,4.99,19.98
598,vila,63.36,55,40,6.93,45.18,8.4
599,lata,29.57,93,100,10.29,30.78,78.62
600,launceston,48.7,61,40,4.7,-41.43,147.14
601,tasbuget,,,,,,
